name,id,country,languages,broadcast_area,categories,is_nsfw,logo
54 Unity TV,54UnityTV.th,TH,tha,c/TH,,false,
5R TV,5RTV.ar,AR,spa,c/AR,,false,
5TV,5TV.am,AM,hye,c/AM,,false,https://resizer.mail.ru/p/1dea41da-2cae-5daf-bd7f-2f93d9ffb30b/AAACQPjiNISxXL0M7OJyayH5_bpIH05R2UmPyBSONVnjUP92ICAhtQd7uIhMG2A2DSUSiEpSiwIExtkC7R5Lfkn4zSo.png
6 TV Bangla,6TVBangla.in,IN,hin,c/IN,,false,
6 TV Telugu,6TVTelugu.in,IN,hin,c/IN,,false,
6'eren,6eren.dk,DK,dan,c/DK,,false,https://images.ctfassets.net/989y85n5kcxs/qLye9JslVy2cTEcO4vjZ4/212ee68c7efba51b5a0547e3c7902fa5/6eren_logo_rgb.jpg
6+,6Plus.ch,CH,deu,c/CH,,false,https://services.sg101.prd.sctv.ch/content/images/tv/channel/1469_image_7_w116.webp
6ter,6ter.fr,FR,fra,c/FR,,false,https://www.programme-tv.net/imgre/fit/https.3A.2F.2Fprd2-tel-epg-img.2Es3-eu-west-1.2Eamazonaws.2Ecom.2Fchannel.2Fceee54072118570a.2Epng/80x80/quality/80/6ter.png
6ter Suisse,6terSuisse.fr,FR,fra,c/FR,,false,https://services.sg101.prd.sctv.ch/content/images/tv/channel/9_image_7_w116.webp
7 Central,7Central.au,AU,eng,c/AU,,false,
7 Info,7Info.ci,CI,fra,c/CI,,false,https://service.canal-overseas.com/image-api/v1/image/284b460796d777dd97458b266e069352
7 Kanal,7Kanal.kg,KG,kir,c/KG,,false,
7 Kanal,7Kanal.kz,KZ,kaz,c/KZ,,false,
7 NSW,7NSW.au,AU,eng,c/AU,,false,
7 News HD,7NewsHD.pk,PK,eng,c/PK,,false,
7 Queensland,7Queensland.au,AU,eng,c/AU,,false,
7 Queensland Cairns Towns,7QueenslandCairnsTowns.au,AU,eng,c/AU,,false,
7 Queensland Mackay Rock,7QueenslandMackayRock.au,AU,eng,c/AU,,false,
7 Queensland Wide Bay,7QueenslandWideBay.au,AU,eng,c/AU,,false,
7 Sky,7Sky.iq,IQ,ara,c/IQ,,false,
7 Spirits TV,7SpiritsTV.et,ET,amh,c/ET,,false,
7 Stars TV,7StarsTV.jo,JO,ara,c/JO,,false,
7 TV,7TV.ru,RU,rus,c/RU,,false,https://avatars.mds.yandex.net/get-tv-channel-logos/54380/2a0000015d79a5c2d0b79832e5a60ca34314/z
